Tag,Close,Prozentuale Veränderung,Artikel 1,Link 1,Artikel 2,Link 2,Artikel 3,Link 3
2021-04-23,729.4,1.3312311488894863, , , , , , 
2021-04-22,719.69,-3.3945170837443897, , , , , , 
2021-04-21,744.12,3.3771434714830946, , , , , , 
2021-04-20,718.99,0.6064062087094442, , , , , , 
2021-04-19,714.63,-3.519303695618703, , , , , , 
2021-04-16,739.78,0.12571304982562026, , , , , , 
2021-04-15,738.85,0.8959870068349431, , , , , , 
2021-04-14,732.23,-4.109364543927455, , , , , , 
2021-04-13,762.32,7.915311155420298,"Dow Jones, Nasdaq, S&P 500: Gewinnmitnahmen an der Wall Street – Harley-Davidson-Aktie mit Kurssprung",https://www.handelsblatt.com/finanzen/maerkte/marktberichte/dow-jones-nasdaq-sundp-500-gewinnmitnahmen-an-der-wall-street-harley-davidson-aktie-mit-kurssprung/27110326.html,Aktie unter der Lupe: Nach dem Model-S-Crash in Texas: Wie geht es mit der Tesla-Aktie weiter?,https://www.handelsblatt.com/finanzen/maerkte/aktien/aktie-unter-der-lupe-nach-dem-model-s-crash-in-texas-wie-geht-es-mit-der-tesla-aktie-weiter/27113088.html,Dax aktuell: Coinbase-Börsengang begeistert auch heimische Anleger – Dax bleibt in der Seitwärtsphase,https://www.handelsblatt.com/finanzen/maerkte/marktberichte/dax-aktuell-coinbase-boersengang-begeistert-auch-heimische-anleger-dax-bleibt-in-der-seitwaertsphase/27097336.html
2021-04-12,701.98,3.555656856320695, , , , , , 
2021-04-09,677.02,-1.0014475200141675, , , , , , 
2021-04-08,683.8,1.8762796139221933, , , , , , 
2021-04-07,670.97,-3.077633873347537, , , , , , 
2021-04-06,691.62,0.08241519909776684, , , , , , 
2021-04-05,691.05,4.239924752188699, , , , , , 
2021-04-01,661.75,-0.9338874197204206, , , , , , 
2021-03-31,667.93,4.837333253484644, , , , , , 
2021-03-30,635.62,3.8277587237657684, , , , , , 
2021-03-29,611.29,-1.2138264980614935, , , , , , 
2021-03-26,618.71,-3.5040649092466367, , , , , , 
